年份,流派,播放量,歌曲数,播放量_万
2017,摇滚,2395972901,37,239597.29
2017,民谣,146014112,6,14601.41
2017,流行,46029040334,553,4602904.03
2017,电子,2540624585,36,254062.46
2017,说唱,22410173171,340,2241017.32
2018,摇滚,3184396797,89,318439.68
2018,民谣,191225637,8,19122.56
2018,流行,43313210647,611,4331321.06
2018,电子,2014655165,25,201465.52
2018,说唱,35762300446,593,3576230.04
2019,摇滚,3587156059,40,358715.61
2019,民谣,122103049,6,12210.3
2019,流行,50915349437,605,5091534.94
2019,电子,1574609739,23,157460.97
2019,说唱,33793054629,546,3379305.46
2020,摇滚,1784078447,31,178407.84
2020,民谣,84131899,4,8413.19
2020,流行,51698641568,635,5169864.16
2020,电子,1334867488,22,133486.75
2020,说唱,39894679124,592,3989467.91
2021,摇滚,1109169282,26,110916.93
2021,民谣,110621799,3,11062.18
2021,流行,15682047378,279,1568204.74
2021,电子,407342230,7,40734.22
2021,说唱,9017721027,135,901772.1
