时间,榜单,播放量,歌曲数,平均热度,播放量_万
2021-01,巅峰榜·新歌,0,100,,0.0
2021-01,巅峰榜·流行指数,0,100,,0.0
2021-04,巅峰榜·新歌,0,100,,0.0
2021-04,巅峰榜·流行指数,0,98,,0.0
2021-07,巅峰榜·新歌,0,98,,0.0
2021-07,巅峰榜·流行指数,0,96,,0.0
2021-10,巅峰榜·新歌,0,100,,0.0
2021-10,巅峰榜·流行指数,0,100,,0.0
2022-01,巅峰榜·内地,0,100,,0.0
2022-01,巅峰榜·新歌,0,100,,0.0
2022-01,巅峰榜·流行指数,0,98,,0.0
2022-04,巅峰榜·内地,0,100,,0.0
2022-04,巅峰榜·新歌,0,97,,0.0
2022-04,巅峰榜·流行指数,0,97,,0.0
2022-07,巅峰榜·内地,0,100,,0.0
2022-07,巅峰榜·新歌,0,100,,0.0
2022-07,巅峰榜·流行指数,0,99,,0.0
2022-07,巅峰榜·热歌,0,100,,0.0
2022-10,巅峰榜·新歌,0,98,,0.0
2022-10,巅峰榜·流行指数,0,99,,0.0
2022-10,巅峰榜·热歌,0,99,,0.0
2023-01,巅峰榜·内地,0,100,,0.0
2023-01,巅峰榜·新歌,0,99,,0.0
2023-01,巅峰榜·流行指数,0,99,,0.0
2023-01,巅峰榜·热歌,0,98,,0.0
2023-04,巅峰榜·内地,0,100,,0.0
2023-04,巅峰榜·新歌,0,99,,0.0
2023-04,巅峰榜·流行指数,0,97,,0.0
2023-04,巅峰榜·热歌,0,99,,0.0
2023-07,巅峰榜·新歌,0,92,,0.0
2023-07,巅峰榜·流行指数,0,98,,0.0
2023-07,巅峰榜·热歌,0,100,,0.0
2023-10,巅峰榜·内地,0,100,,0.0
2023-10,巅峰榜·新歌,0,97,,0.0
2023-10,巅峰榜·流行指数,0,100,,0.0
2023-10,巅峰榜·热歌,0,100,,0.0
2024-01,巅峰榜·内地,0,100,,0.0
2024-01,巅峰榜·新歌,0,97,,0.0
2024-01,巅峰榜·流行指数,0,100,,0.0
2024-01,巅峰榜·热歌,0,97,,0.0
2024-04,巅峰榜·内地,0,100,,0.0
2024-04,巅峰榜·新歌,0,98,,0.0
2024-04,巅峰榜·流行指数,0,97,,0.0
2024-04,巅峰榜·热歌,0,98,,0.0
2024-07,巅峰榜·内地,0,99,,0.0
2024-07,巅峰榜·新歌,0,96,,0.0
2024-07,巅峰榜·流行指数,0,98,,0.0
2024-07,巅峰榜·热歌,0,99,,0.0
2024-10,巅峰榜·内地,0,100,,0.0
2024-10,巅峰榜·新歌,0,98,,0.0
2024-10,巅峰榜·流行指数,0,99,,0.0
2024-10,巅峰榜·热歌,0,99,,0.0
2025-01,巅峰榜·新歌,0,95,,0.0
2025-01,巅峰榜·流行指数,0,96,,0.0
2025-01,巅峰榜·热歌,0,98,,0.0
2025-04,巅峰榜·内地,0,100,,0.0
2025-04,巅峰榜·新歌,0,94,,0.0
2025-04,巅峰榜·流行指数,0,96,,0.0
2025-04,巅峰榜·热歌,0,98,,0.0
2025-07,巅峰榜·内地,0,100,,0.0
2025-07,巅峰榜·新歌,0,94,,0.0
2025-07,巅峰榜·流行指数,0,97,,0.0
2025-07,巅峰榜·热歌,0,100,,0.0
2025-10,巅峰榜·新歌,0,100,,0.0
2025-10,巅峰榜·流行指数,0,100,,0.0
2025-10,巅峰榜·热歌,0,100,,0.0
