,rank,danceability,energy,key,mode,time_signature,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
rank,1.0,-0.636653843775302,-0.1474860586568013,0.11279416184384776,0.5500360947476852,-0.058597049686314504,-0.5358690009344945,0.05299815299218523,0.34423315714337627,0.10856796191947284,0.24612755658618388,-0.37724057584204435,0.25201216977035634
danceability,-0.636653843775302,1.0,0.07694390474854529,-0.04269101996407507,-0.4182186376702051,0.15621565975785873,0.3877746192249576,0.2218922637235367,-0.3667562384836422,0.06202865259407782,-0.135409257167004,0.46522966884505285,-0.2021738302862759
energy,-0.1474860586568013,0.07694390474854529,1.0,0.09079182600287182,-0.0870927011191407,0.15885110391101684,0.6942778229337686,-0.13239234737592173,-0.45030824395006985,-0.1301107687846211,-0.08669236980663833,0.40435694472609657,-0.025738353685592342
key,0.11279416184384776,-0.04269101996407507,0.09079182600287182,1.0,-0.028859302489753984,0.01672314770222031,-0.018493738485261937,-0.024945492073219673,-0.0531579008112673,0.09907882285749676,-0.04647835625948797,0.012227398349731982,-0.07276892836738907
mode,0.5500360947476852,-0.4182186376702051,-0.0870927011191407,-0.028859302489753984,1.0,-0.09061809289699,-0.29770342252162774,-0.11048984425104807,0.2863340162774959,0.13268138012431438,0.076540057330998,-0.22557760537229876,0.22221309235721767
time_signature,-0.058597049686314504,0.15621565975785873,0.15885110391101684,0.01672314770222031,-0.09061809289699,1.0,0.11384035130276866,0.03995080883934481,-0.08600558943825933,-0.028671848691971646,-0.07069883810812833,0.11391601202125061,-0.057410810249724484
loudness,-0.5358690009344945,0.3877746192249576,0.6942778229337686,-0.018493738485261937,-0.29770342252162774,0.11384035130276866,1.0,-0.11475856644121067,-0.4612570825418266,-0.25402598659421494,-0.22359885915868843,0.48754071571403895,-0.08922716110566134
speechiness,0.05299815299218523,0.2218922637235367,-0.13239234737592173,-0.024945492073219673,-0.11048984425104807,0.03995080883934481,-0.11475856644121067,1.0,0.019227007378157215,-0.010457018269763885,0.02123930550441625,0.021243412500687956,0.07402651747459128
acousticness,0.34423315714337627,-0.3667562384836422,-0.45030824395006985,-0.0531579008112673,0.2863340162774959,-0.08600558943825933,-0.4612570825418266,0.019227007378157215,1.0,0.1844074624809138,0.11482651519539945,-0.18498522621014704,0.04310348704162337
instrumentalness,0.10856796191947284,0.06202865259407782,-0.1301107687846211,0.09907882285749676,0.13268138012431438,-0.028671848691971646,-0.25402598659421494,-0.010457018269763885,0.1844074624809138,1.0,0.015589096633238863,-0.12241510837857544,0.028605913901721763
liveness,0.24612755658618388,-0.135409257167004,-0.08669236980663833,-0.04647835625948797,0.076540057330998,-0.07069883810812833,-0.22359885915868843,0.02123930550441625,0.11482651519539945,0.015589096633238863,1.0,-0.06636761250284666,-0.0019830635484599565
valence,-0.37724057584204435,0.46522966884505285,0.40435694472609657,0.012227398349731982,-0.22557760537229876,0.11391601202125061,0.48754071571403895,0.021243412500687956,-0.18498522621014704,-0.12241510837857544,-0.06636761250284666,1.0,-0.0942426113710858
tempo,0.25201216977035634,-0.2021738302862759,-0.025738353685592342,-0.07276892836738907,0.22221309235721767,-0.057410810249724484,-0.08922716110566134,0.07402651747459128,0.04310348704162337,0.028605913901721763,-0.0019830635484599565,-0.0942426113710858,1.0
